# Server version 0.08 running on 10.0.0.232:8123
# Game ID: 2
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Wed Mar 02 20:41:32 PST 2016
# Player 1: Player-0, 'RandomHusPlayer', running on 10.0.0.232
# Player 2: Player-1, 'xxxxxxxxx', running on 10.0.0.232
START Player-0 RandomHusPlayer
START Player-1 xxxxxxxxx
PIT 0 13
PIT 1 23
PIT 0 12
PIT 1 2
PIT 0 6
PIT 1 21
PIT 0 1
PIT 1 17
PIT 0 2
PIT 1 1
PIT 0 13
PIT 1 2
PIT 0 4
PIT 1 5
PIT 0 14
PIT 1 3
PIT 0 7
PIT 1 4
PIT 0 13
PIT 1 5
PIT 0 14
PIT 1 6
PIT 0 0
PIT 1 0
PIT 0 17
PIT 1 3
PIT 0 6
PIT 1 4
GAMEOVER WINNER 1
# Game ended: Wed Mar 02 20:41:33 PST 2016
